Phase,Application (To System),Interfaces,Source System,Destination System,Integration Category,Type,Process Type,Frequency,Status,Treatment,Last Deployment,Comments
,01-PageUp-Chris21,MW.PageUpChris21.Integration,Chris21,PageUp,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2024-04-15 08:24:44,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,02-Maximo,MW.Maximo.FinanceOneIntegration,Maximo,FinanceOne,Hybrid: On-premise to Cloud,File base,Schedule,Daily 5:30 pm,PROD,CAPEX,2019-07-02 10:51:10,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
Phase 1,02-Maximo,MW.Mobility.Maximo.Attachment,Maximo,Mobility,On-premise to On-premise ,API,,Real Time,PROD,CAPEX,2019-07-12 06:38:57,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,03-Kronos-Maximo,MW.Kronos.Common,common which supports integrations,Kronos,Hybrid: On-premise to Cloud,API,,,,CAPEX,2020-11-06 01:43:57,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,03-Kronos-Maximo,MW.MaximoKronos,Maximo,Kronos,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2020-11-19 07:24:53,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,04-Liquid-EnviroSys,MW.Liquid.InfloIntegration,Envirosys,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 10:48:24,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.FinanceOneIntegration,Project Online,FinanceOne,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2019-07-02 11:12:24,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.CommonComponents,only common techincal code related to integrations is present no buisness functinality,FinanceOne,Hybrid: On-premise to Cloud,,,,,CAPEX,2019-07-02 11:16:14,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.InfloIntegration,Project Online,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 11:14:42,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.MaximoIntegration,Project Online,Maximo,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2021-06-30 04:35:00,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,06- IRIS,MW.HR.IRIS.UserMgmtIntegration,Chris21,IRIS,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2022-04-26 02:17:52,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,07-SmartRainGrid,MW.SCADA.SmartRainGrid,OSPI,SmartRain Grid,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2026-01-19 09:18:20,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,07-SmartRainGrid,MW.SCADA.SmartRainGrid.TokenProcess,OSPI,SmartRain Grid,Hybrid: On-premise to Cloud,API,Schedule,Every 15 min,PROD,CAPEX,2026-01-19 09:19:41,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.BusinessRules,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-11-21 08:09:50,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.Cleansing,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 09:36:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.CreatePolygonSite,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 09:39:43,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
Phase 1,08-DevConnect,MW.DSSCon.PegaESRIIntegration.DrainageInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 09:42:47,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.FloodInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 09:45:18,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.GetGISAssetInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 09:51:33,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.MapSitePolygon,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:07:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.NearbyCases,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:10:03,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.PropertyInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:12:46,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.SchemeInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:15:20,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.SpecialInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:17:44,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaFinanceOneIntegration,Pega ,Finance One,Cloud  to Cloud,API,,Real Time,PROD,HYBRID,2025-09-12 05:48:40,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaMaximo.GetContRates,Pega ,Maximo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:24:41,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaMaximo.UpdateContPayment,Pega ,Maximo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-02 10:28:19,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.EnterpriseServices.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-03 02:06:08,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,9-Chris21,MW.EnterpriseServices,Pega,Chris21,Cloud  to Cloud,API,,Real Time,PROD,HYBRID,2024-05-09 07:27:10,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,10-AMIS,MW.AMIS.Common,only common techincal code related to AMIS is present no buisness functinality,Q4,On-premise to On-premise ,,,,PROD,CAPEX,2019-02-07 00:00:00,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
Phase 1,10-AMIS,MW.AMIS.Q4,Maximo,Q4,On-premise to On-premise ,File base,Batch,Daily based on file placed event,PROD,CAPEX,2019-02-07 00:00:00,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,11-Common,MW.BizTalk.Common.Components,only common techincal code related to integrations is present no buisness functinality,,,,,,PROD,CAPEX,2021-07-15 14:26:13,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,11-Common,MW.BizTalk.Common.Schemas,only common techincal code related to integrations is present no buisness functinality,,,,,,PROD,CAPEX,2019-07-02 09:03:17,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,12-DFWS,MW.DFWS.Inflo.SchemeIntegration,ESRI ,Inflo,On-premise to On-premise ,API,,Real Time,PROD,HYBRID,2019-07-02 09:15:54,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.DFWS.Invoice.ServiceReceipts,Finance One,Maximo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-13 00:21:13,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.DFWS.Projects.PurchaseOrder,Finance One,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2024-11-25 07:57:15,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.DFWS.Projects.PurchaseRequisition,Maximo,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2025-09-12 00:23:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.Techone.TokenandUtilities,BizTalk,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2025-09-12 03:24:54,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,12-DFWS,MW.DFWS.Reimbursement.Payments,Maximo,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2025-09-12 00:26:46,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,13-WaterWorks,WaterWorks,Mosaic,,On-premise to On-premise ,File base,Batch,Daily based on file placed event,PROD,CAPEX,2023-03-27 07:08:35,Not  Supported By TCS supported by CGI vendor 
,14-Procurement ,MW.Procurement.Common,only common techincal code related to procurement is present no buisness functinality,Maximo,,API,,Real Time,PROD,CAPEX,2020-01-31 00:12:36,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.Emailer,only common techincal code related to procurement is present no buisness functinality,Maximo,,API,,,PROD,CAPEX,2021-10-15 06:31:18,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.GoodsReceipt,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2020-04-02 06:07:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.Invoice,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2021-10-15 06:33:51,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.PurchaseOrder,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2022-08-18 07:15:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.PurchaseRequisition,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2022-06-24 08:29:01,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,15-IDAM,MW.IDAM.Chris21.Integration,IDAM,Chris21,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2019-12-05 03:40:35,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,15-IDAM,MW.Chris21.Common,BizTalk,Chris21,Hybrid: On-premise to Cloud,API,SChedule,Every 29 min,PROD,HYBRID,2019-12-05 03:37:38,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,16-Zycus,MW.Zycus.Inflo.Contract,Zycus,Inflo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2020-10-20 06:07:40,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.Common,only common techincal code related to integrations is present no buisness functinality,,Hybrid: On-premise to Cloud,,,Real Time,PROD,CAPEX,2020-09-04 01:21:19,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.Events,Zycus,BizTalk,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2020-09-04 02:00:42,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.TokenRefresh,BizTalk,Zycus,Hybrid: On-premise to Cloud,API,Schedule,every 8 hrs,PROD,CAPEX,2020-09-04 02:36:45,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.TechOne.Contract,Zycus,TechOne,Cloud  to Cloud,API,,Real Time,PROD,CAPEX,2025-01-28 06:23:28,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,"MW.Zycus.TechOne.Supplier
",Zycus,TechOne,Cloud  to Cloud,API,,Real Time,PROD,CAPEX,2025-10-30 07:41:08,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.BusinessRules,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:30:13,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:32:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.GetPropertyInfo,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:34:48,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.NearByCases,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:38:34,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.Withdrawal,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:39:49,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,18-BizTalk,BizTalk Application 1,Default application,,,,,,PROD,,2019-06-19 04:19:30,
,18-BizTalk,BizTalk.System,Default application,,,,,,PROD,Treatment,2026-01-19 09:19:41,Comment
,18-BizTalk,Microsoft.Practices.ESB,Default application,,,,,,PROD,Treatment,2019-07-02 10:19:01,Comment
,18-BizTalk,Microsoft.Practices.JMS,Default application,,,,,,PROD,CAPEX,2019-06-19 10:04:34,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,18-BizTalk,Microsoft.BizTalk.CAT,Default application,,,,,,PROD,Treatment,2019-06-30 03:24:36,Comment
,19- CAD ,MW.CAD.BusinessRules,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-06-12 08:34:15,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,19- CAD ,MW.CAD.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-06-12 08:35:41,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,20-Flash Flood,MW.EWN.HDC.Process,FIDS,EWN,On-premise to On-premise ,File base,Batch,Based on file placed event,UAT,CAPEX,,"Not in Prod, UAT is being used for PROD, No code available Need to assessed if this should be in scope for migration"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,, ,,,,,,,,
